States/UTs,Rice,Wheat,Atta,Gram Dal,Tur Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk,Groundnut Oil,Mustard Oil,Vanaspati,Soya Oil,Sunflower Oil,Palm Oil,Gur,Tea Loose,Salt,Potato,Onion,Tomato,Date,price_type
Minimum Price,18.0,16.0,15.5,53.0,70.0,70.0,72.5,64.5,32.0,30.0,140.0,131.51,93.0,110.0,130.0,85.7,31.0,120.0,6.38,9.0,10.0,12.0,2022-09-21,wholesale
Modal Price,32.0,25.0,30.0,62.0,105.0,95.0,90.0,80.0,38.0,50.0,180.0,160.0,150.0,130.0,180.0,120.0,42.0,280.0,21.0,18.0,16.0,40.0,2022-09-21,wholesale
Average Price,33.7547,27.3258,30.874200000000002,64.8585,102.3092,97.0835,92.39290000000001,86.2303,39.1832,50.9862,177.8282,161.1818,136.7687,140.8228,160.5809,114.5372,44.4116,249.6466,17.2168,21.8666,19.8974,34.6319,2022-09-22,wholesale
Maximum Price,56.0,40.0,62.0,105.0,125.0,130.0,115.0,117.0,47.0,74.0,240.0,210.0,200.0,190.0,215.0,176.0,90.0,519.34,27.0,45.0,45.0,70.0,2022-09-22,wholesale
Minimum Price,18.0,16.0,15.5,53.0,70.0,70.0,72.5,64.5,32.0,30.0,140.0,130.51,93.0,110.0,130.0,85.7,31.0,120.0,6.38,8.0,10.0,12.0,2022-09-22,wholesale
Modal Price,29.0,23.0,30.0,62.0,100.0,95.0,90.0,85.0,38.0,50.0,180.0,155.0,150.0,130.0,160.0,110.0,42.0,280.0,15.5,17.0,16.0,40.0,2022-09-22,wholesale
Average Price,32.977399999999996,26.9088,30.8146,64.45859999999999,101.38690000000001,96.3548,91.9808,85.7072,39.2179,51.275200000000005,176.95919999999998,160.28209999999999,136.1897,140.2792,161.9733,115.258,44.1779,249.89700000000002,17.739,21.2079,19.9159,33.954899999999995,2022-09-23,wholesale
Maximum Price,54.0,38.0,62.0,98.0,125.0,130.0,115.0,117.0,47.0,74.0,240.0,211.0,200.0,190.0,215.0,175.0,90.0,519.34,27.0,45.0,45.0,75.0,2022-09-23,wholesale
Minimum Price,18.0,16.0,15.5,53.0,70.0,70.0,72.5,64.5,33.0,30.0,140.0,124.0,93.0,110.0,125.9,85.0,31.0,120.0,6.38,8.0,10.0,12.0,2022-09-23,wholesale
Modal Price,31.0,25.0,30.0,62.0,100.0,95.0,90.0,82.5,38.0,50.0,180.0,160.0,145.0,130.0,160.0,120.0,41.0,280.0,20.0,20.0,16.0,40.0,2022-09-23,wholesale
Average Price,33.6058,26.8233,30.730999999999998,64.54979999999999,101.89959999999999,97.0292,92.1121,86.03620000000001,39.0651,50.5264,177.55450000000002,160.0603,137.0681,140.3416,161.075,114.1523,44.032,250.5855,17.6283,21.2868,19.3123,33.9778,2022-09-24,wholesale
Maximum Price,56.0,40.0,62.0,105.0,125.0,130.0,115.0,117.0,47.0,74.0,240.0,211.0,200.0,190.0,215.0,175.0,90.0,519.34,27.0,45.0,40.0,75.0,2022-09-24,wholesale
